run,graph,num_rows,num_cols,nnz,avg_degree,ms_t1,ms_t2,ms_t4,ms_t8,ms_t16,ms_t32,speedup_t2,speedup_t4,speedup_t8,speedup_t16,speedup_t32
2,ldoor,952203,952203,46522475,48.8577,74.6386,73.0053,73.8595,74.1083,73.0232,74.0035,1.02237,1.01055,1.00716,1.02212,1.00858
2,roadNet-CA,1971281,1971281,5533214,2.80691,16.4784,15.3611,15.3105,15.6279,15.3717,15.0984,1.07274,1.07628,1.05442,1.07199,1.0914
2,chesapeake,39,39,340,8.71795,299.804,0.072811,0.069375,0.056683,0.051892,0.051643,4117.57,4321.51,5289.14,5777.47,5805.33
2,hollywood-2009,1139905,1139905,113891327,99.913,187.255,181.781,181.477,179.583,180.056,179.599,1.03011,1.03184,1.04272,1.03998,1.04263
2,ldoor,952203,952203,46522475,48.8577,74.6795,74.1109,73.7726,73.6425,72.7585,72.8374,1.00767,1.01229,1.01408,1.0264,1.02529
2,roadNet-CA,1971281,1971281,5533214,2.80691,16.2279,15.3199,15.347,15.34,15.3158,15.3491,1.05927,1.0574,1.05789,1.05955,1.05726
2,chesapeake,39,39,340,8.71795,302.215,0.067728,0.057909,0.05381,0.052819,0.05283,4462.18,5218.79,5616.33,5721.7,5720.51
2,hollywood-2009,1139905,1139905,113891327,99.913,185.754,182.395,182.649,187.363,185.185,184.315,1.01841,1.017,0.991413,1.00307,1.00781
2,ldoor,952203,952203,46522475,48.8577,75.5867,74.8628,74.2021,74.1723,74.1407,74.0579,1.00967,1.01866,1.01907,1.0195,1.02064
2,roadNet-CA,1971281,1971281,5533214,2.80691,16.429,15.3015,15.2312,15.254,15.2216,15.2127,1.07369,1.07864,1.07703,1.07932,1.07995
2,chesapeake,39,39,340,8.71795,304.143,0.062416,0.054843,0.064277,0.055197,0.065652,4872.85,5545.71,4731.76,5510.15,4632.66
2,hollywood-2009,1139905,1139905,113891327,99.913,186.362,182.223,182.853,182.336,182.552,184.088,1.02271,1.01919,1.02208,1.02087,1.01235
2,ldoor,952203,952203,46522475,48.8577,75.5292,74.4248,74.5338,73.6254,73.6097,73.8174,1.01484,1.01336,1.02586,1.02608,1.02319
2,roadNet-CA,1971281,1971281,5533214,2.80691,16.257,15.5347,15.4271,15.4537,15.4606,15.4027,1.04649,1.05379,1.05198,1.05151,1.05546
2,chesapeake,39,39,340,8.71795,354.684,0.059202,0.052353,0.050732,0.050558,0.049203,5991.08,6774.85,6991.33,7015.39,7208.58
2,hollywood-2009,1139905,1139905,113891327,99.913,193.231,176.726,172.989,172.429,172.845,172.387,1.09339,1.11701,1.12064,1.11794,1.12091
