run,N,nthreads,serial_ms,parallel_ms,speedup
9,65536,16,4.300,0.529,8.131
9,65536,32,4.300,0.542,7.937
9,65536,64,4.300,0.521,8.249
9,131072,2,9.882,1.070,9.239
9,131072,4,9.882,0.921,10.725
9,131072,8,9.882,0.896,11.026
9,131072,16,9.882,0.912,10.840
9,131072,32,9.882,0.890,11.107
9,131072,64,9.882,0.933,10.593
9,262144,2,22.663,1.809,12.527
9,262144,4,22.663,1.638,13.838
9,262144,8,22.663,1.633,13.878
9,262144,16,22.663,1.631,13.892
9,262144,32,22.663,1.633,13.882
9,262144,64,22.663,1.643,13.797
9,524288,2,51.636,3.193,16.172
9,524288,4,51.636,2.925,17.652
9,524288,8,51.636,2.909,17.752
9,524288,16,51.636,2.938,17.575
9,524288,32,51.636,2.930,17.622
9,524288,64,51.636,2.928,17.637
10,4096,2,0.197,265.115,0.001
10,4096,4,0.197,0.234,0.839
10,4096,8,0.197,0.211,0.931
10,4096,16,0.197,0.195,1.009
10,4096,32,0.197,0.193,1.016
10,4096,64,0.197,0.209,0.942
10,8192,2,0.440,0.263,1.677
10,8192,4,0.440,0.230,1.915
10,8192,8,0.440,0.251,1.751
10,8192,16,0.440,0.227,1.938
10,8192,32,0.440,0.222,1.980
10,8192,64,0.440,0.221,1.993
10,16384,2,0.926,0.286,3.240
10,16384,4,0.926,0.311,2.978
10,16384,8,0.926,0.286,3.243
10,16384,16,0.926,0.281,3.299
10,16384,32,0.926,0.302,3.070
10,16384,64,0.926,0.277,3.346
10,32768,2,1.981,0.377,5.260
10,32768,4,1.981,0.383,5.173
10,32768,8,1.981,0.366,5.411
10,32768,16,1.981,0.383,5.173
10,32768,32,1.981,0.378,5.243
10,32768,64,1.981,0.363,5.465
10,65536,2,4.342,0.558,7.777
10,65536,4,4.342,0.551,7.887
10,65536,8,4.342,0.566,7.666
10,65536,16,4.342,0.571,7.610
10,65536,32,4.342,0.548,7.922
10,65536,64,4.342,0.541,8.026
10,131072,2,10.130,1.072,9.454
10,131072,4,10.130,0.925,10.948
10,131072,8,10.130,0.911,11.115
10,131072,16,10.130,0.916,11.056
10,131072,32,10.130,0.942,10.750
10,131072,64,10.130,0.933,10.862
10,262144,2,22.441,1.821,12.325
10,262144,4,22.441,1.669,13.442
10,262144,8,22.441,1.651,13.591
10,262144,16,22.441,1.658,13.537
10,262144,32,22.441,1.672,13.425
10,262144,64,22.441,1.668,13.454
10,524288,2,50.590,3.215,15.737
10,524288,4,50.590,2.988,16.929
10,524288,8,50.590,3.021,16.745
10,524288,16,50.590,2.957,17.110
10,524288,32,50.590,2.956,17.114
10,524288,64,50.590,2.966,17.058
